Problem: irf208x208x208, setup: 1.63 s, time: 29.14 ms, ``mflops'': 17833
Problem: irf224x224x224, setup: 1.64 s, time: 18.29 ms, ``mflops'': 35983
Problem: irf240x240x240, setup: 2.28 s, time: 22.69 ms, ``mflops'': 36136
Problem: irf256x256x256, setup: 2.56 s, time: 26.83 ms, ``mflops'': 37525
Problem: irf272x272x272, setup: 5.15 s, time: 89.78 ms, ``mflops'': 13595
Problem: irf288x288x288, setup: 3.88 s, time: 47.63 ms, ``mflops'': 30732
Problem: irf304x304x304, setup: 7.67 s, time: 139.28 ms, ``mflops'': 12478
Problem: irf320x320x320, setup: 5.21 s, time: 70.66 ms, ``mflops'': 28943
Problem: irf336x336x336, setup: 6.12 s, time: 92.58 ms, ``mflops'': 25790
Problem: irf352x352x352, setup: 7.47 s, time: 124.56 ms, ``mflops'': 22215
Problem: irf368x368x368, setup: 14.57 s, time: 282.95 ms, ``mflops'': 11259
Problem: irf384x384x384, setup: 8.89 s, time: 127.32 ms, ``mflops'': 28635
Problem: irf400x400x400, setup: 9.49 s, time: 153.08 ms, ``mflops'': 27103
Problem: irf416x416x416, setup: 11.42 s, time: 191.19 ms, ``mflops'': 24570
Problem: irf432x432x432, setup: 14.20 s, time: 218.79 ms, ``mflops'': 24196
Problem: irf448x448x448, setup: 13.91 s, time: 210.80 ms, ``mflops'': 28175
Problem: irf464x464x464, setup: 28.58 s, time: 619.54 ms, ``mflops'': 10712
Problem: irf480x480x480, setup: 17.11 s, time: 277.95 ms, ``mflops'': 26580
Problem: irf496x496x496, setup: 32.84 s, time: 781.96 ms, ``mflops'': 10480
Problem: irf512x512x512, setup: 20.66 s, time: 325.60 ms, ``mflops'': 27825
Problem: irf528x528x528, setup: 23.91 s, time: 433.86 ms, ``mflops'': 23014
Problem: irf544x544x544, setup: 28.26 s, time: 754.47 ms, ``mflops'': 14543
Problem: irf560x560x560, setup: 25.28 s, time: 457.36 ms, ``mflops'': 26291
Problem: irf576x576x576, setup: 27.81 s, time: 483.56 ms, ``mflops'': 27180
Problem: irf592x592x592, setup: 38.34 s, time: 1.45 s, ``mflops'': 9873
Problem: orf96x96x96, setup: 253.99 ms, time: 1.29 ms, ``mflops'': 33748
Problem: orf112x112x112, setup: 205.42 ms, time: 2.54 ms, ``mflops'': 28255
Problem: orf128x128x128, setup: 562.43 ms, time: 2.87 ms, ``mflops'': 38379
Problem: orf144x144x144, setup: 468.59 ms, time: 5.29 ms, ``mflops'': 30348
Problem: orf160x160x160, setup: 535.25 ms, time: 6.11 ms, ``mflops'': 36798
Problem: orf176x176x176, setup: 515.81 ms, time: 10.72 ms, ``mflops'': 28439
Problem: orf192x192x192, setup: 783.82 ms, time: 10.74 ms, ``mflops'': 37486
Problem: orf208x208x208, setup: 812.74 ms, time: 18.44 ms, ``mflops'': 28178
Problem: orf224x224x224, setup: 1.01 s, time: 19.47 ms, ``mflops'': 33797
Problem: orf240x240x240, setup: 1.47 s, time: 25.60 ms, ``mflops'': 32022
Problem: orf256x256x256, setup: 1.73 s, time: 32.15 ms, ``mflops'': 31314
Problem: orf272x272x272, setup: 3.90 s, time: 91.58 ms, ``mflops'': 13328
Problem: orf288x288x288, setup: 2.54 s, time: 56.14 ms, ``mflops'': 26074
Problem: orf304x304x304, setup: 4.52 s, time: 138.80 ms, ``mflops'': 12521
Problem: orf320x320x320, setup: 3.45 s, time: 85.81 ms, ``mflops'': 23834
Problem: orf336x336x336, setup: 3.98 s, time: 102.79 ms, ``mflops'': 23228
Problem: orf352x352x352, setup: 4.50 s, time: 127.45 ms, ``mflops'': 21711
Problem: orf368x368x368, setup: 8.51 s, time: 274.30 ms, ``mflops'': 11614
Problem: orf384x384x384, setup: 5.84 s, time: 139.63 ms, ``mflops'': 26110
Problem: orf400x400x400, setup: 6.08 s, time: 174.44 ms, ``mflops'': 23784
Problem: orf416x416x416, setup: 7.26 s, time: 211.24 ms, ``mflops'': 22238
Problem: orf432x432x432, setup: 8.19 s, time: 226.61 ms, ``mflops'': 23361
Problem: orf448x448x448, setup: 8.80 s, time: 231.64 ms, ``mflops'': 25641
Problem: orf464x464x464, setup: 16.68 s, time: 614.99 ms, ``mflops'': 10791
Problem: orf480x480x480, setup: 11.09 s, time: 294.66 ms, ``mflops'': 25072
Problem: orf496x496x496, setup: 17.93 s, time: 773.13 ms, ``mflops'': 10599
Problem: orf512x512x512, setup: 14.01 s, time: 361.58 ms, ``mflops'': 25056
Problem: orf528x528x528, setup: 14.77 s, time: 437.65 ms, ``mflops'': 22815
Problem: orf544x544x544, setup: 13.81 s, time: 753.70 ms, ``mflops'': 14558
Problem: orf560x560x560, setup: 15.55 s, time: 482.48 ms, ``mflops'': 24922
Problem: orf576x576x576, setup: 16.57 s, time: 514.19 ms, ``mflops'': 25560
Problem: orf592x592x592, setup: 21.54 s, time: 1.47 s, ``mflops'': 9719.8
Problem: irb96x96x96, setup: 348.33 ms, time: 1.14 ms, ``mflops'': 38232
Problem: irb112x112x112, setup: 319.01 ms, time: 2.28 ms, ``mflops'': 31398
Problem: irb128x128x128, setup: 598.39 ms, time: 2.71 ms, ``mflops'': 40657
Problem: irb144x144x144, setup: 731.13 ms, time: 4.88 ms, ``mflops'': 32917
Problem: irb160x160x160, setup: 902.16 ms, time: 6.90 ms, ``mflops'': 32615
Problem: irb176x176x176, setup: 937.61 ms, time: 10.05 ms, ``mflops'': 30340
Problem: irb192x192x192, setup: 1.34 s, time: 11.25 ms, ``mflops'': 35781
Problem: irb208x208x208, setup: 1.47 s, time: 19.59 ms, ``mflops'': 26528
Problem: irb224x224x224, setup: 1.91 s, time: 20.75 ms, ``mflops'': 31718
Problem: irb240x240x240, setup: 2.66 s, time: 40.83 ms, ``mflops'': 20076
Problem: irb256x256x256, setup: 2.93 s, time: 30.10 ms, ``mflops'': 33443
Problem: irb272x272x272, setup: 5.34 s, time: 87.33 ms, ``mflops'': 13977
