Problem: irb14592x14592, setup: 22.17 s, time: 880.40 ms, ``mflops'': 16728
Problem: irb15104x15104, setup: 23.68 s, time: 1.55 s, ``mflops'': 10215
Problem: irb15616x15616, setup: 26.87 s, time: 2.00 s, ``mflops'': 8485.1
Problem: irb16128x16128, setup: 24.78 s, time: 707.52 ms, ``mflops'': 25693
Problem: orb256x256, setup: 111.49 ms, time: 75.09 us, ``mflops'': 34911
Problem: orb768x768, setup: 382.09 ms, time: 928.62 us, ``mflops'': 30440
Problem: orb1280x1280, setup: 685.18 ms, time: 3.77 ms, ``mflops'': 22433
Problem: orb1792x1792, setup: 542.23 ms, time: 8.02 ms, ``mflops'': 21638
Problem: orb2304x2304, setup: 1.35 s, time: 12.96 ms, ``mflops'': 22883
Problem: orb2816x2816, setup: 988.08 ms, time: 20.19 ms, ``mflops'': 22503
Problem: orb3328x3328, setup: 1.09 s, time: 26.48 ms, ``mflops'': 24469
Problem: orb3840x3840, setup: 2.15 s, time: 36.82 ms, ``mflops'': 23840
Problem: orb4352x4352, setup: 1.61 s, time: 71.75 ms, ``mflops'': 15954
Problem: orb4864x4864, setup: 2.24 s, time: 113.86 ms, ``mflops'': 12724
Problem: orb5376x5376, setup: 2.38 s, time: 69.82 ms, ``mflops'': 25647
Problem: orb5888x5888, setup: 3.45 s, time: 183.57 ms, ``mflops'': 11826
Problem: orb6400x6400, setup: 3.09 s, time: 97.56 ms, ``mflops'': 26543
Problem: orb6912x6912, setup: 3.66 s, time: 138.43 ms, ``mflops'': 22010
Problem: orb7424x7424, setup: 5.54 s, time: 280.44 ms, ``mflops'': 12635
Problem: orb7936x7936, setup: 6.73 s, time: 377.67 ms, ``mflops'': 10801
Problem: orb8448x8448, setup: 4.48 s, time: 217.01 ms, ``mflops'': 21449
Problem: orb8960x8960, setup: 5.14 s, time: 231.28 ms, ``mflops'': 22787
Problem: orb9472x9472, setup: 9.65 s, time: 583.84 ms, ``mflops'': 10150
Problem: orb9984x9984, setup: 5.96 s, time: 298.71 ms, ``mflops'': 22167
Problem: orb10496x10496, setup: 11.09 s, time: 648.92 ms, ``mflops'': 11338
Problem: orb11008x11008, setup: 10.41 s, time: 737.63 ms, ``mflops'': 11028
Problem: orb11520x11520, setup: 9.05 s, time: 368.27 ms, ``mflops'': 24310
Problem: orb12032x12032, setup: 11.62 s, time: 950.68 ms, ``mflops'': 10320
Problem: orb12544x12544, setup: 8.28 s, time: 492.14 ms, ``mflops'': 21765
Problem: orb13056x13056, setup: 11.03 s, time: 677.24 ms, ``mflops'': 17206
Problem: orb13568x13568, setup: 12.13 s, time: 1.29 s, ``mflops'': 9782.6
Problem: orb14080x14080, setup: 10.78 s, time: 629.27 ms, ``mflops'': 21709
Problem: orb14592x14592, setup: 11.24 s, time: 883.58 ms, ``mflops'': 16667
